Jugador,Puesto,Equipo,Cotización (mill.),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Acumulado,Promedio
"Sánchez, Carlos",VOL,RIV,4900000,0,5,11,5,4,2,3,4,2,21,2,6,5,7,7,84,6
"Navarro, Hilario",ARQ,IND,5000000,8,9,4,3,4,6,2,4,3,8,9,0,5,15,4,84,6
"Quiroga, Juan L.",DEF,BEL,3000000,5,8,2,5,3,13,6,8,5,3,6,7,4,0,8,83,5.93
"Villalba, Hernán",VOL,NOB,3000000,5,5,3,4,4,6,6,3,6,12,4,7,6,7,5,83,5.53
"Pereyra, Mauricio",VOL,LAN,3600000,0,0,13,3,6,12,3,5,5,6,7,6,4,6,7,83,6.38
"Bovaglio, Lucas",DEF,ATR,3800000,5,5,6,3,5,6,5,16,5,5,0,0,14,2,6,83,5.93
"Correa, Nicolás",DEF,UNI,4300000,5,5,6,15,5,6,7,4,5,3,5,5,2,5,5,83,5.53
"Cubero, Fabián",DEF,VEL,3900000,0,7,4,8,15,8,0,5,7,4,7,5,3,4,5,82,6.31
"Ojeda, Luis",ARQ,ARG,4200000,2,3,10,2,9,5,9,9,-2,9,4,4,4,9,5,82,5.47
"Insúa, Emanuel",DEF,GOD,500000,5,6,18,4,4,4,8,4,8,1,7,3,0,6,3,81,5.79
"Mattia, Francisco",DEF,SMA,1500000,3,6,4,5,4,8,5,8,5,6,6,6,4,8,3,81,5.4
"Pillud, Iván",DEF,RAC,4500000,0,7,9,5,7,5,2,6,8,7,8,3,0,7,7,81,6.23
"Papa, Emiliano",DEF,VEL,4900000,9,7,5,8,5,7,3,6,0,4,7,6,4,5,5,81,5.79
"Gigliotti, Emmanuel",DEL,COL,5200000,5,8,5,0,5,4,4,4,20,2,4,10,7,3,0,81,6.23
"Carbonero, Carlos",VOL,ARS,4000000,5,6,7,7,5,4,4,12,0,0,5,10,7,6,2,80,5.71
"Ceballos, Lucas",DEF,GOD,3100000,6,8,9,1,3,4,8,5,8,3,7,5,6,6,0,79,5.64
"Sigali, Leonardo",DEF,GOD,4600000,5,8,8,4,6,2,8,5,7,1,7,5,3,5,5,79,5.27
"Viatri, Lucas",DEL,BOC,5500000,5,15,5,0,20,4,7,5,4,4,4,2,0,4,0,79,6.58
"Fernández, Gastón",DEL,EST,8500000,11,5,6,7,5,5,11,7,6,6,6,4,0,0,0,79,6.58
"Erviti, Walter",VOL,BOC,9000000,6,5,0,0,3,6,5,4,4,6,6,12,7,10,5,79,6.08
"Barrera, Leandro",DEL,ARG,900000,0,0,7,9,15,5,5,7,5,5,0,5,5,5,5,78,6.5
"Luna, Jorge",VOL,SMA,2500000,0,0,0,5,0,8,6,18,5,4,7,6,10,4,5,78,7.09
"Grana, Hernán",DEF,ALB,3000000,6,5,4,6,6,4,4,0,0,0,8,17,7,5,6,78,6.5
"Pérez García, Matías",VOL,TIG,3600000,0,6,4,6,5,11,6,5,3,4,5,0,7,11,5,78,6
"Carrera, Sebastián",VOL,ATR,4100000,6,3,6,5,12,5,3,4,5,5,5,6,3,6,4,78,5.2
"Galmarini, Martín",VOL,TIG,4200000,5,3,5,17,6,3,11,6,5,6,5,0,0,3,3,78,6
"Campestrini, Cristian",ARQ,ARS,6000000,7,10,2,7,6,1,1,0,1,9,9,3,-1,8,15,78,5.57
"Peruzzi, Gino",DEF,VEL,1700000,8,7,6,18,11,6,8,0,4,4,0,0,5,0,0,77,7.7
"Alvarado, Pablo",DEF,SLO,3500000,5,7,4,7,3,3,3,5,0,8,8,5,6,8,5,77,5.5
"Ayala, Víctor",VOL,LAN,3800000,5,2,12,6,4,0,6,7,11,6,6,3,5,4,0,77,5.92
"Schunke, Jonathan",DEF,EST,2300000,8,0,0,0,5,7,7,3,2,6,7,4,15,7,5,76,6.33
"Aguiar, Luis",VOL,SLO,3800000,5,4,4,5,12,0,5,2,0,0,5,18,4,12,0,76,6.91
"Bastía, Adrián",VOL,COL,4000000,4,11,5,6,3,3,7,5,6,6,4,9,5,2,0,76,5.43
"Funes Mori, Rogelio",DEL,RIV,5000000,-3,21,6,5,5,10,4,3,0,7,5,0,3,4,6,76,5.85
"Olmedo, Nicolás",VOL,GOD,4200000,4,5,6,3,7,5,11,4,5,4,11,0,0,6,4,75,5.77
"Prósperi, Gonzalo",DEF,SLO,4500000,6,7,4,5,6,7,0,6,3,4,7,5,4,6,5,75,5.36
"Romero, Silvio",DEL,LAN,4800000,4,0,11,0,0,0,0,0,3,10,6,5,11,11,14,75,8.33
"Pérez, Pablo",VOL,NOB,4900000,6,5,6,3,2,11,5,7,5,3,11,0,4,4,3,75,5.36
"Cambiasso, Nicolás",ARQ,ALB,5000000,11,5,2,2,4,3,3,5,5,4,9,9,9,0,4,75,5
"Barovero, Marcelo",ARQ,RIV,6000000,0,10,3,8,4,1,4,5,9,8,5,2,8,8,0,75,5.77
"Carranza, César",DEL,BEL,3500000,14,5,11,6,3,8,5,0,0,0,6,11,0,5,0,74,7.4
"Ré, Germán",DEF,EST,4000000,3,2,8,5,5,8,7,3,5,5,6,5,4,4,4,74,4.93
"Buffarini, Julio",VOL,SLO,5400000,6,4,6,6,6,12,5,6,2,5,5,0,0,6,5,74,5.29
"PezDELla, Germán",DEF,RIV,2000000,0,0,0,0,14,0,7,4,8,8,6,6,12,8,0,73,8.11
"González, Esteban",VOL,BEL,3800000,5,6,5,5,0,0,5,6,5,7,6,6,7,4,6,73,5.62
"Landa, Lucas",DEF,SMA,3900000,5,6,2,5,2,8,5,8,6,6,3,2,3,7,5,73,4.87
"Lima, Pablo",DEF,QUI,3000000,0,5,16,5,2,4,8,4,6,4,0,0,6,7,5,72,6
"Pérez, Damián A.",DEF,ARS,3900000,7,8,8,0,0,0,0,0,2,13,8,5,5,8,8,72,7.2
"Urribarri, Bruno",DEF,COL,3500000,7,8,4,5,4,4,5,0,4,5,4,3,5,8,5,71,5.07
"Marcone, Iván",VOL,ARS,3900000,4,5,7,3,6,5,4,4,4,6,5,3,5,4,6,71,4.73
"Bianchi Arce, Nicolás",DEF,SLO,3900000,5,8,4,8,6,6,3,3,4,7,6,3,3,0,5,71,5.07
"Pérez, Claudio",DEF,BEL,4300000,0,8,4,0,3,7,5,10,2,0,3,8,6,7,8,71,5.92
"Montoya, Germán",ARQ,VEL,4400000,9,15,5,9,6,8,9,5,0,5,0,0,0,0,0,71,7.1
"Fritzler, Matías",VOL,LAN,4600000,0,5,6,4,0,5,0,5,6,4,3,6,7,13,7,71,5.46
"Ferreyra, Osmar",VOL,IND,4700000,0,0,0,4,4,6,7,11,7,11,4,0,5,6,6,71,6.45
"Pozo, Diego",ARQ,COL,4800000,10,8,2,6,5,3,3,3,3,4,3,4,4,8,5,71,4.73
"Silva, Santiago",DEL,BOC,11000000,0,0,18,0,4,3,11,2,4,10,4,7,3,0,5,71,6.45
