Jugador,Puesto,Equipo,Cotización (mill.),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,Acumulado,Promedio
"Carrera, Sebastián",VOL,ATR,3800000,5,6,0,0,0,1,10,5,17,6,5,4,6,6,5,3,6,4,89,5.93
"Pozo, Diego",ARQ,COL,4700000,9,3,3,1,0,5,9,3,8,0,0,4,9,14,9,3,5,9,94,5.88
"Pérez, Damián A.",DEF,ARS,3000000,0,4,5,5,7,0,5,7,4,5,5,4,6,14,5,2,5,8,91,5.69
"Olave, Juan C.",ARQ,BEL,4300000,8,1,9,9,3,3,4,16,5,9,6,6,4,5,9,5,2,0,104,6.12
"Pellerano, Hernán",DEF,NOB,4500000,6,7,3,-1,0,8,16,8,5,8,6,2,6,6,3,4,0,5,92,5.75
"Rolle, Martín",VOL,OLI,5400000,5,7,5,14,6,5,13,0,7,5,6,3,5,5,5,4,7,6,108,6
"Tagliafico, Nicolás",DEF,BAN,2400000,5,4,6,3,0,5,7,7,6,5,15,2,4,6,5,5,6,3,94,5.53
"Buffarini, Julio",VOL,SLO,3000000,0,0,0,0,0,0,5,6,9,8,11,7,4,11,4,6,0,5,76,6.91
"Farré, Guillermo",VOL,BEL,3500000,0,0,4,6,6,4,4,0,4,2,5,17,5,6,6,5,6,6,86,5.73
"Carrusca, Marcelo",VOL,SMA,4000000,0,4,0,6,5,4,4,10,4,5,4,13,0,5,6,6,4,6,86,5.73
"Peratta, Sebastián",ARQ,NOB,5500000,6,9,2,3,10,8,9,9,5,7,4,4,6,4,2,2,3,3,96,5.33
"Saja, Sebastián",ARQ,RAC,6500000,10,5,7,14,10,10,1,4,5,0,9,2,12,4,3,9,5,2,112,6.22
"Erviti, Walter",VOL,BOC,10000000,6,4,7,0,0,17,5,7,5,3,17,10,0,0,0,7,5,0,93,7.75
"Romero, Silvio",DEL,LAN,4800000,5,5,6,0,4,4,0,5,5,5,0,15,5,5,5,11,5,6,91,6.07
"Mugni, Lucas",VOL,COL,700000,0,0,0,0,0,4,11,5,5,5,6,5,6,6,4,5,5,7,74,5.69
"Jara, Diego",DEL,UNI,3000000,6,3,3,10,15,3,11,4,10,5,5,0,7,4,5,5,0,0,96,6.4
"Fernández, Gastón",DEL,EST,8300000,4,4,10,6,6,4,0,5,7,11,2,3,4,0,10,5,9,7,97,6.06
"García, Diego",DEL,SMA,2000000,0,0,0,5,0,0,0,0,0,5,6,6,20,4,6,6,4,15,77,7.7
"Bovaglio, Lucas",DEF,ATR,3200000,8,2,6,6,5,2,5,4,6,5,3,7,6,5,8,8,3,5,94,5.22
"Bastía, Adrián",VOL,COL,3600000,2,0,11,3,5,7,10,0,5,11,4,3,6,3,3,5,4,6,88,5.5
"Castaño, Diego",VOL,TIG,4500000,11,8,0,5,7,5,5,6,5,11,4,0,5,4,3,6,5,6,96,6
"DELaya, Emilio",DEL,ARS,4600000,4,5,9,3,0,0,4,0,0,4,4,4,16,10,11,6,0,13,93,7.15
"Caire, Maximiliano",DEF,COL,1900000,0,0,7,4,4,0,0,5,7,6,8,4,8,5,7,5,5,7,82,5.86
"Rosales, Paulo",VOL,UNI,4800000,6,6,0,3,0,6,12,6,6,5,4,5,3,2,6,7,4,5,86,5.38
"Marchesín, Agustín",ARQ,LAN,5000000,5,10,2,2,5,6,4,3,5,10,9,4,0,5,1,9,2,8,90,5.29
